mean,lower,upper
0.479317654,0.366460133,0.619634953
0.564947622,0.229189439,0.998842386
0.669078306,0.157124236,1.138581975
1.017861551,0.373329477,1.638086586
1.162095742,0.435684812,1.720873504
1.275811389,0.435073372,1.877390544
1.345339872,0.40341242,1.983794357
1.352829582,0.284070006,2.03105674
1.327067215,0.170302091,2.073309651
1.285089833,0.103824521,1.944109394
1.221990243,0.066688211,1.81408084
1.151940218,0.02354777,1.766525206
1.080154063,-0.010458499,1.722296468
1.007897409,-0.037050806,1.584382173
0.939289698,-0.056737658,1.439088786
0.875745546,-0.082064873,1.29701147
0.817309961,-0.081825964,1.256394484
0.764423381,-0.105821413,1.174432221
0.71668541,-0.166113815,1.132722962
0.673373165,-0.192412426,1.088412265